expression,reading,meaning,tags
カレー,カレー,curry (abbr. for curry and rice),
コーヒー,コーヒー,coffee,
パン,パン,bread,
あそこ,あそこ,"there, over there, that place",
あっち,あっち,over there,
あの,あの,"that over there; like that, that way; um...",
あれ,あれ,that one (over there),
家,いえ,"house, home",
入口,いりぐち,entrance,
上,うえ,"above (up, top, etc.), over, on top of",
うち,うち,home; house; my place,
駅,えき,station,
外国,がいこく,foreign country; abroad,
北,きた,north,
銀行,ぎんこう,bank,
国,くに,country; place of origin,
公園,こうえん,a park,
ここ,ここ,"here, this place",
そこ,そこ,"that place, there; bottom, sole",
そちら,そちら,over there,
そっち,そっち,over there,
外,そと,"outside, exterior",
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",
ただいま,ただいま,Im home,
丁度,ちょうど,"just, right, exactly",
出口,でぐち,an exit,
戸,と,door (Japanese style),
隣,となり,"next to, next door to",
どこ,どこ,"where, what place",
どちら,どちら,which (one) (way); where (polite),
中,なか,"inside, middle, among",
西,にし,west,
東,ひがし,east,
病院,びょういん,hospital,
部屋,へや,a room,
町,まち,town; city,
窓,まど,window,
店,みせ,"store, shop",
南,みなみ,South,
向こう,むこう,"beyond, over there",
アパート,アパート,apartment (abbr.),
デパート,デパート,(abbr.) department store,
トイレ,トイレ,bathroom; toilet,
ドア,ドア,door (Western style),
ホテル,ホテル,hotel,
レストラン,レストラン,restaurant,
～前,～まえ,in front of ~,
～屋,～や,~ shop,
鉛筆,えんぴつ,pencil,
会社,かいしゃ,"company, corporation",
角,かど,"corner (e.g., desk, pavement)",
紙,かみ,paper,
学校,がっこう,a school,
雑誌,ざっし,"magazine, journal",
仕事,しごと,"work, job, occupation, employment",
宿題,しゅくだい,homework,
新聞,しんぶん,newspaper,
辞書,じしょ,dictionary,
字引,じびき,dictionary,
授業,じゅぎょう,a class (of school),
大学,だいがく,college; university,
机,つくえ,desk,
図書館,としょかん,library,
勉強,べんきょう (する),study,
本,ほん,book,
郵便局,ゆうびんきょく,post office,
クラス,クラス,a class,
テスト,テスト,test,
雨,あめ,rain,
犬,いぬ,dog,
海,うみ,"sea, beach",
風,かぜ,"wind, breeze",
花瓶,かびん,(flower) vase,
川; 河,かわ,river,
木,き,"tree, wood, timber",
曇り,くもり,"cloudiness, cloudy weather",
魚,さかな,fish,
空,そら,sky,
天気,てんき,weather,
鳥,とり,"chicken (lit., bird)",
動物,どうぶつ,animal,
猫,ねこ,cat,
花,はな,flower,
晴れ,はれ,clear (sunny) weather,
水,みず,water,
山,やま,mountain,
雪,ゆき,snow,
ああ,ああ,"Ah!, Oh!",
アイスクリーム,あいすくりーむ,ice cream,
青,あお,blue,
赤,あか,red,
秋,あき,fall (season),
あちら,あちら,this way (polite),
後,あと,afterwards (later); in the future; the rest; since then,
いくつ,いくつ,"how many, how old",
いくら,いくら,"how much, how many",
池,いけ,pond,
椅子,いす,chair,
一番,いちばん,"best (most), first, number one",
一緒,いっしょ,together,
いつ,いつ,when,
五つ,いつつ,five things,
意味,いみ,"meaning, significance",
嫌,いや,"disagreeable, detestable, unpleasant",
色,いろ,color,
色々,いろいろ,various,
インターネット,いんたーねっと,internet,
歌,うた,a song,
絵,え,a painting; a picture; a drawing,
エアコン,えあこん,air conditioner,
映画,えいが,"movie, film",
映画館,えいがかん,"movie theater, cinema",
英語,えいご,English (language),
大きな,おおきな,big,
お菓子,おかし,"confections, sweets, snack",
お金,おかね,money,
奥さん,おくさん,(someone else's) wife (hon.),
お皿,おさら,"plate, dish",
大人,おとな,adult,
お風呂,おふろ,a bath,
おまわりさん,おまわりさん,policeman (friendly term),
おめでとう,おめでとう,congratulations,
音楽,おんがく,Music,
階段,かいだん,stairs,
買い物,かいもの,shopping,
鍵,かぎ,a lock; a key,
風邪,かぜ,"cold, flu",
片仮名,かたかな,katakana,
漢字,かんじ,kanji; Chinese character,
外国人,がいこくじん,foreigner,
黄色,きいろ,yellow,
喫茶店,きっさてん,café,
切手,きって,postal (postage) stamps,
切符,きっぷ,a ticket,
教室,きょうしつ,classroom,
兄弟,きょうだい,"siblings (humble), brothers and sisters",
綺麗,きれい,"pretty, clean, tidy",
牛乳,ぎゅうにゅう,milk,
薬,くすり,medicine,
車,くるま,"car, vehicle",
黒,くろ,black,
警官,けいかん,police officer,
結婚,けっこん (する),marriage (get married),
元気,げんき,"health(y), energetic",
交差点,こうさてん,intersection,
交番,こうばん,police box,
九つ,ここのつ,nine things,
言葉,ことば,language; word(s); expression(s),
この,この,this,
これ,これ,this one,
こんな,こんな,"such, like this",
財布,さいふ,wallet,
先,さき,"future; recent, previous",
作文,さくぶん,essay; composition,
さようなら,さようなら,Goodbye,
散歩,さんぽ (する),"walk, stroll",
しかし,しかし,however; but,
静か,しずか,"quiet, calm",
下,した,"under, below, beneath",
写真,しゃしん,a picture; a photograph,
醤油,しょうゆ,soy sauce,
食堂,しょくどう,"cafeteria, dining hall",
白,しろ,white,
自転車,じてんしゃ,bicycle,
自動車,じどうしゃ,automobile,
自分,じぶん,"myself, oneself",
じゃ; じゃあ,じゃ; じゃあ,"well, well then",
上手,じょうず,"be good at, skillful",
丈夫,じょうぶ,"strong, solid, durable",
好き,すき,"liking, fondness, love",
すぐに,すぐに,"immediately, soon",
少し,すこし,"little, few",
スマホ,すまほ,smartphone,
スマートフォン,すまーとふぉん,smartphone,
スーパー,すーぱー,supermarket,
背,せい,"(one's) height, stature",
石鹸,せっけん,soap,
背広,せびろ,men's suit,
洗濯,せんたく,"washing, laundry",
全部,ぜんぶ,"all, entire, whole",
そうして; そして,そうして; そして,"and, like that",
掃除,そうじ (する),"cleaning, sweeping",
その,その,that,
それ,それ,that one,
それでは,それでは,"in that situation, well then...",
大使館,たいしかん,embassy,
大切,たいせつ,important,
大変,たいへん,"very; difficult, hard",
沢山,たくさん,"many, much",
たて,たて,"length, height",
建物,たてもの,building,
たばこ,たばこ,"tobacco, cigarettes",
多分,たぶん,"perhaps, probably, maybe",
食べ物,たべもの,food,
卵,たまご,egg,
誕生日,たんじょうび,birthday,
大好き,だいすき,"very like-able, like very much",
台所,だいどころ,kitchen,
誰か,だれか,someone,
段々,だんだん,"gradually, by degrees",
小さな,ちいさな,"small, little",
近く,ちかく,nearby; in the neighborhood,
地下鉄,ちかてつ,"underground train, subway",
地図,ちず,a map,
茶色,ちゃいろ,brown,
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",
次,つぎ,next,
手紙,てがみ,letter,
では,では,"then, well, so",
でも,でも,"but, however",
電気,でんき,"electricity, (electric) light",
電車,でんしゃ,electric train,
電話,でんわ,a telephone,
時計,とけい,a watch; a clock,
所,ところ,place,
とても,とても,"very (much), greatly, exceedingly",
どうして,どうして,"why, for what reason",
どっち,どっち,"which one, which way",
どの,どの,which,
どれ,どれ,which one,
どんな,どんな,"what, what kind of",
なぜ,なぜ,why (same as どうして),
夏,なつ,summer,
夏休み,なつやすみ,summer vacation,
七つ,ななつ,seven things,
名前,なまえ,name,
何,なん; なに,what,
何～,なん～,what sort of ~,
にぎやか,にぎやか,"bustling, busy",
荷物,にもつ,luggage; baggage,
庭,にわ,garden,
灰皿,はいざら,ashtray,
葉書,はがき,postcard,
箱,はこ,box,
橋,はし,bridge,
箸,はし,chopsticks,
始まる,はじまる,(something) begins,
初め; 始め,はじめ,"beginning, start",
二十歳,はたち,20 years old,
話,はなし,"talk (chat), story",
春,はる,spring,
ハンバーガー,はんばーがー,hamburger,
半分,はんぶん,half,
番号,ばんごう,"number, series of digits",
パソコン,ぱそこん,personal computer,
飛行機,ひこうき,airplane,
一つ,ひとつ,one thing,
平仮名,ひらがな,hiragana,
病気,びょうき,illness; sickness,
封筒,ふうとう,envelope,
二つ,ふたつ,two things,
二人,ふたり,two people,
冬,ふゆ,winter,
文章,ぶんしょう,"sentence, text",
下手,へた,"unskillful, poor",
辺,へん,"area, vicinity",
便利,べんり,"convenient, handy",
本棚,ほんだな,bookshelf,
本当,ほんとう,"real, true",
また,また,and; furthermore,
まだ,まだ,"yet, still, besides",
まっすぐ,まっすぐ,"straight (ahead), direct",
万年筆,まんねんひつ,fountain pen,
道,みち,"road, street; way, directions",
三つ,みっつ,three things,
緑,みどり,green,
みんな,みんな,"all, everyone, everybody",
六つ,むっつ,six things,
村,むら,village,
もう,もう,already; again; more,
もっと,もっと,more,
物,もの,thing (concrete object),
門,もん,gate,
問題,もんだい,a problem,
八百屋,やおや,greengrocer,
八つ,やっつ,eight things,
有名,ゆうめい,famous,
ゆっくりと,ゆっくりと,"slowly, at ease",
横,よこ,beside; side; width,
四つ,よっつ,four things,
りっぱ,りっぱ,"splendid, fine",
料理,りょうり,cooking; cuisine,
旅行,りょこう,"travel, trip",
冷蔵庫,れいぞうこ,refrigerator,
練習,れんしゅう (する),(to) practice,
廊下,ろうか,corridor,
エレベーター,エレベーター,elevator,
カップ,カップ,cup,
カメラ,カメラ,camera,
カレンダー,カレンダー,calendar,
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),
ギター,ギター,guitar,
グラム,グラム,gram,
コップ,コップ,a tumbler; a glass,
シャワー,シャワー,shower,
ストーブ,ストーブ,heater (lit: stove),
スプーン,スプーン,spoon,
スポーツ,スポーツ,sport(s),
ズボン,ズボン,trousers,
セーター,セーター,sweater,
ゼロ,ゼロ,zero,
タクシー,タクシー,taxi,
テレビ,テレビ,"television, TV",
テーブル,テーブル,table,
テープ,テープ,tape,
テープレコーダー,テープレコーダー,tape recorder,
ナイフ,ナイフ,knife,
ニュース,ニュース,news,
ネクタイ,ネクタイ,"tie, necktie",
ハンカチ,ハンカチ,handkerchief,
バス,バス,bus; bath; bass,
バター,バター,butter,
パーティー,パーティー,a party,
フィルム,フィルム,film (roll of),
フォーク,フォーク,fork,
プール,プール,swimming pool,
ベッド,ベッド,bed,
ペット,ペット,pet,
ペン,ペン,pen,
ページ,ページ,a page,
ボタン,ボタン,button,
ボールペン,ボールペン,ball-point pen,
ポケット,ポケット,pocket,
ポスト,ポスト,"mailbox; post, position",
マッチ,マッチ,match,
メートル,メートル,meter,
ラジオ,ラジオ,radio,
ラジオカセ,ラジオカセ,radio cassette player,
レコード,レコード,record,
青い,あおい,blue,
赤い,あかい,red,
暖かい,あたたかい,warm,
新しい,あたらしい,new,
熱い,あつい,hot (objects),
厚い,あつい,"kind, warm(hearted), thick, deep",
危ない,あぶない,"dangerous, critical",
甘い,あまい,"generous, sweet",
いい; よい,いい; よい,good,
忙しい,いそがしい,"busy (people, days)",
痛い,いたい,hurt; painful; sore,
いってらっしゃい,いってらっしゃい,Please go and come back,
薄い,うすい,"thin, weak",
うるさい,うるさい,noisy; annoying,
美味しい,おいしい,"delicious, tasty",
多い,おおい,many; there are a lot,
大きい,おおきい,"big, large",
おかえりなさい,おかえりなさい,Welcome home,
重い,おもい,heavy; serious,
面白い,おもしろい,"interesting, amusing",
おやすみなさい,おやすみなさい,Good night,
辛い,からい,hot and spicy; salty,
軽い,かるい,"light, non-serious, minor",
可愛い,かわいい,"cute, adorable",
黄色い,きいろい,yellow,
汚い,きたない,"dirty, unclean, filthy",
嫌い,きらい,dislike,
下さい,ください,(with te-form verb) please do for me,
暗い,くらい,"dark, gloomy",
黒い,くろい,black; dark,
ごめんなさい,ごめんなさい,I'm sorry,
白い,しろい,white,
少ない,すくない,a little; a few,
狭い,せまい,narrow; not spacious,
高い,たかい,"tall, high; expensive",
楽しい,たのしい,"enjoyable, fun",
小さい,ちいさい,"small, little",
近い,ちかい,"near, close by, short",
つまらない,つまらない,"boring, dull; insignificant",
冷たい,つめたい,"cold (things, people)",
強い,つよい,"strong, powerful",
遠い,とおい,"far (away), distant",
ない,ない,"there isn't, doesn't have",
長い,ながい,"long, lengthy",
温い,ぬるい,lukewarm,
早い,はやい,early,
速い,はやい,"fast, quick",
低い,ひくい,"short, low",
広い,ひろい,spacious; wide; broad,
太い,ふとい,"fat, thick",
細い,ほそい,"thin, slender, fine",
丸い; 円い,まるい,"round, circular",
短い,みじかい,short (length),
難しい,むずかしい,difficult,
易しい,やさしい,"easy, plain, simple",
安い,やすい,inexpensive; cheap (things),
弱い,よわい,weak,
若い,わかい,young,
悪い,わるい,"bad, sinful; inferior",
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),
会う,あう,"to meet, to see",
明るい,あかるい,bright (in reference to personality or weather); cheerful,
開く,あく,"to open, to become open",
開ける,あける,to open (v.t.),
上げる,あげる,"to raise, to lift",
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,
暑い,あつい,"hot (in reference to weather), warm",
浴びる,あびる,"to bathe, to shower",
洗う,あらう,to wash,
在る,ある,"to be, to have",
有る,ある,"to be, to have",
歩く,あるく,to walk,
言う,いう,to say,
行く,いく; ゆく,to go,
居る,いる,"(humble) to be (animate), to exist",
要る,いる,to need,
入れる,いれる,to put in,
歌う,うたう,to sing,
生まれる,うまれる,to be born,
売る,うる,to sell (v.t.),
起きる,おきる,"to get up (e.g., from sleeping); to happen",
置く,おく,to put; to lay; to place,
教える,おしえる,"to teach, to inform, to instruct",
押す,おす,"to push, to press, to stamp (e.g., a passport)",
遅い,おそい,slow; (to be) late,
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",
泳ぐ,およぐ,to swim,
降りる,おりる,to get off,
終る,おわる,"to finish, to close",
買う,かう,to buy,
返す,かえす,to return something,
帰る,かえる,"to go back, to go home, to return",
書く,かく,to write,
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",
かける,かける,"to dial/call (e.g., phone); to sit down",
貸す,かす,to lend,
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",
借りる,かりる,"to borrow, to owe",
消える,きえる,"to vanish, to disappear",
聞く,きく,"to hear, to listen, to ask",
切る,きる,to cut; to hang up (a phone),
着る,きる,to put on (clothes above your waist); to wear,
曇る,くもる,"to become cloudy, to become dim",
来る,くる,to come,
消す,けす,"to erase, to delete, to turn off power",
玄関,げんかん,entrance (to a house or a building),
答える,こたえる,"to answer, to reply",
困る,こまる,"to be bothered, to have difficulty",
咲く,さく,to bloom,
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)",
寒い,さむい,cold (in reference to weather),
死ぬ,しぬ,to die,
閉まる,しまる,"to close, to be closed",
閉める,しめる,"to close, to shut",
締める,しめる,"to tie, to fasten, to tighten",
知る,しる,"to know, to understand",
吸う,すう,"to breathe in, to suck",
涼しい,すずしい,"cool, refreshing (in reference to weather)",
住む,すむ,"to reside, to live in",
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",
座る,すわる,to sit,
そう; そうです,そう; そうです,"yes; appears, to be the case",
立つ,たつ,to stand up,
頼む,たのむ,"to request, to ask (a favor)",
食べる,たべる,to eat,
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,
出す,だす,to take (something) out; to hand in (something),
違う,ちがう,to be different; to differ; wrong,
使う,つかう,to use,
疲れる,つかれる,to get (become) tired; to become fatigued,
着く,つく,"to arrive at, to reach",
作る,つくる,"to make, to create",
つける,つける,"to turn on (e.g., a light); to take",
勤める,つとめる,to work (for),
出かける,でかける,to go out; to depart,
できる,できる,to be able to (to accomplish),
出る,でる,"to appear, to leave",
飛ぶ,とぶ,"to fly, to hop",
止まる,とまる,to come to a halt,
取る,とる,to take (a class); to get (a grade),
撮る,とる,"to take (a photo), to make (a film)",
鳴く,なく,to make sound (animal),
無くす,なくす,to lose something,
習う,ならう,to learn,
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)",
並べる,ならべる,to put (things) side by side; to line up,
なる,なる,to become,
脱ぐ,ぬぐ,to take off (clothes),
寝る,ねる,to sleep; to go to sleep; to go to bed,
登る,のぼる,to climb,
飲む,のむ,to drink,
乗る,のる,"to get on, to ride in, to board",
入る,はいる,"to enter, to contain, to hold",
はく,はく,to put on (items below your waist),
走る,はしる,to run,
働く,はたらく,to work,
話す,はなす,to speak,
貼る,はる,to post; to paste; to attach,
晴れる,はれる,to be sunny,
引く,ひく,"to pull, to draw; subtract",
弾く,ひく,to play (a string instrument or piano),
吹く,ふく,"to blow (wind, etc.)",
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",
古い,ふるい,"old (in reference to objects, not people), aged, ancient",
欲しい,ほしい,"to want, in need of",
曲る,まがる,"to turn, to bend",
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",
待つ,まつ,to wait,
磨く,みがく,to brush (teeth); to polish,
見せる,みせる,"to show, to display",
見る,みる,"to see, to look",
持つ,もつ,"to hold, to carry; to possess",
休む,やすむ,"to rest, to have a break, to get time off",
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",
呼ぶ,よぶ,to call (one's name); to invite,
読む,よむ,to read,
よろしくおねがいします,よろしくおねがいします,Nice to meet you,
分かる,わかる,to understand,
忘れる,わすれる,to forget,
渡す,わたす,to hand (something) over (v.t.); to get across,
渡る,わたる,"to cross over, to go across",
コピーする,コピーする,to copy,
～すぎ,～すぎ,"past; to exceed, ~ too much",
